"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","10µF","Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J_Pad1.25x1.05mm_HandSolder",""
"2","C2","1","22µF","Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J_Pad1.25x1.05mm_HandSolder",""
"3","C3","1","0.1μF","Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J_Pad1.25x1.05mm_HandSolder",""
"4","C4","1","10μF","Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J_Pad1.25x1.05mm_HandSolder",""
"5","C5, C6","2","4.7μF","Capacitor_Tantalum_SMD:CP_EIA-1608-08_AVX-J_Pad1.25x1.05mm_HandSolder",""
"6","J1","1","Conn_01x02_Pin","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",""
"7","J2","1","Conn_02x08_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical",""
"8","SW1","1","SW_SPDT","SPDT:mySwitch",""
"9","U1","1","AZ1117IH-3.3TRG1","AZ1117IH-3.3TRG1:SOT230P700X185-4N",""
"10","U2","1","L293D","Package_DIP:DIP-16_W7.62mm",""
